pdbid,-logKd/Ki,protein_name,set,dataset
1m7i,5.4,ANTIBODY FAB FRAGMENT,refined,train
1mmr,5.4,MATRILYSIN,refined,train
1mxu,5.4,GLUTAMATE RECEPTOR 2,general,train
1my3,5.4,GLUTAMATE RECEPTOR 2,general,train
1nym,5.4,BETA-LACTAMASE TEM,general,train
1ow6,5.4,FOCAL ADHESION KINASE 1,general,train
1ow7,5.4,FOCAL ADHESION KINASE 1,general,train
1ow8,5.4,FOCAL ADHESION KINASE 1,general,train
1pz5,5.4,ANTIBODY FAB FRAGMENT,refined,train
1r9l,5.4,GLYCINE BETAINE-BINDING PERIPLASMIC PROTEIN,refined,train
1t1r,5.4,1-DEOXY-D-XYLULOSE 5-PHOSPHATE REDUCTOISOMERASE,general,train
1trd,5.4,TRIOSEPHOSPHATE ISOMERASE,refined,train
1tv6,5.4,HIV-1 REVERSE TRANSCRIPTASE P66 SUBUNIT,general,train
1uu9,5.4,3-PHOSPHOINOSITIDE-DEPENDENT PROTEIN KINASE 1,general,train
1uvs,5.4,THROMBIN,general,train
1yi3,5.4,SERINE/THREONINE-PROTEIN KINASE,general,train
2c1p,5.4,IGK-C PROTEIN,refined,train
2f35,5.4,"GLUTAMATE RECEPTOR, IONOTROPIC KAINATE 1",refined,train
2g24,5.4,RENIN,general,train
2i80,5.4,D-ALANINE-D-ALANINE LIGASE,refined,train
2jdm,5.4,FUCOSE-BINDING LECTIN PA-IIL,refined,train
2qg2,5.4,HEAT SHOCK PROTEIN HSP90-ALPHA,refined,train
2wzz,5.4,BETA-LACTAMASE,general,train
3arr,5.4,CHITINASE A,general,train
3b4p,5.4,PHENAZINE BIOSYNTHESIS PROTEIN A/B,refined,train
3gwx,5.4,PEROXISOME PROLIFERATOR-ACTIVATED RECEPTOR DELTA,general,train
3ken,5.4,KINESIN-LIKE PROTEIN KIF11,general,train
3l6h,5.4,GLYCINE BETAINE-BINDING PROTEIN,general,train
3m57,5.4,HISTONE-LYSINE N-METHYLTRANSFERASE SETD7,general,train
3pch,5.4,"PROTOCATECHUATE 3,4-DIOXYGENASE",general,train
3pma,5.4,THROMBIN LIGHT CHAIN,general,train
3qcl,5.4,RECEPTOR-TYPE TYROSINE-PROTEIN PHOSPHATASE GAMMA,general,train
3rk5,5.4,CYCLIN-DEPENDENT KINASE 2,general,train
4aph,5.4,ANGIOTENSIN-CONVERTING ENZYME,general,train
4c5d,5.4,BCL-2-LIKE PROTEIN 1,refined,train
4ij1,5.4,ANTHRANILATE PHOSPHORIBOSYLTRANSFERASE,refined,train
4jlh,5.4,HIV-1 INTEGRASE,general,train
4m3p,5.4,BETAINE--HOMOCYSTEINE S-METHYLTRANSFERASE 1,refined,train
4nwd,5.4,"GLUTAMATE RECEPTOR, IONOTROPIC KAINATE 3",general,train
4ozj,5.4,NITROGEN REGULATORY PROTEIN P-II,refined,train
4ozn,5.4,NITROGEN REGULATORY PROTEIN P-II,general,train
4pin,5.4,HISTIDINE-SPECIFIC METHYLTRANSFERASE EGTD,refined,train
4rqz,5.4,PROTEASE DEGS,general,train
5anq,5.4,LYSINE-SPECIFIC DEMETHYLASE 4A,general,train
5ep7,5.4,CREB-BINDING PROTEIN,refined,train
5eqp,5.4,CHOLINE KINASE ALPHA,refined,train
5fjw,5.4,COATOMER SUBUNIT DELTA,general,train
5fns,5.4,KELCH-LIKE ECH-ASSOCIATED PROTEIN 1,refined,train
5jiq,5.4,TRANSTHYRETIN,general,train
5jsj,5.4,SPINDLIN-1,refined,train
5l9o,5.4,DEOXYFRUCTOSYL-AMINO ACID TRANSPORTER PERIPLASMIC BINDING,refined,train
5lax,5.4,"HLA CLASS II HISTOCOMPATIBILITY ANTIGEN, DR ALPHA CHAIN",general,train
5lsg,5.4,PEROXISOME PROLIFERATOR-ACTIVATED RECEPTOR GAMMA,refined,train
5m2v,5.4,"GLUTAMATE RECEPTOR, IONOTROPIC KAINATE 1",general,train
5mqe,5.4,CREB-BINDING PROTEIN,refined,train
5o1i,5.4,CELLULAR TUMOR ANTIGEN P53,general,train
5tef,5.4,GEM-ASSOCIATED PROTEIN 5,refined,train
5yid,5.4,PLASMEPSIN II,general,train
6bj2,5.4,TCR 589 ALPHA CHAIN,general,train
1dzm,5.41,ODORANT-BINDING PROTEIN,general,train
1u2r,5.41,ELONGATION FACTOR 2,general,train
1xxe,5.41,UDP-3-O-[3-HYDROXYMYRISTOYL] N-ACETYLGLUCOSAMINE,general,train
1y3a,5.41,"GUANINE NUCLEOTIDE-BINDING PROTEIN G(I), ALPHA-1",general,train
2aia,5.41,PEPTIDE DEFORMYLASE,general,train
2j47,5.41,O-GLCNACASE BT_4395,refined,train
2mps,5.41,E3 UBIQUITIN-PROTEIN LIGASE MDM2,general,train
3arn,5.41,DEOXYURIDINE 5'-TRIPHOSPHATE NUCLEOTIDOHYDROLASE,general,train
3gqo,5.41,NON-STRUCTURAL PROTEIN 3,general,train
3kai,5.41,PEPTIDYL-PROLYL CIS-TRANS ISOMERASE NIMA,general,train
3tjh,5.41,H2-LD SBM2,general,train
4dro,5.41,PEPTIDYL-PROLYL CIS-TRANS ISOMERASE FKBP5,general,train
4drp,5.41,PEPTIDYL-PROLYL CIS-TRANS ISOMERASE FKBP5,general,train
4fgt,5.41,THYMIDYLATE SYNTHASE,general,train
4kmd,5.41,SUFU,general,train
4lwt,5.41,E3 UBIQUITIN-PROTEIN LIGASE MDM2,general,train
4m3d,5.41,HTH-TYPE TRANSCRIPTIONAL REGULATOR ETHR,general,train
4tun,5.41,LYSOZYME C,refined,train
4u6z,5.41,METHIONINE AMINOPEPTIDASE 1,refined,train
4uma,5.41,PHOSPHO-2-DEHYDRO-3-DEOXYHEPTONATE ALDOLASE,refined,train
5a4l,5.41,DUAL SPECIFICITY TYROSINE-PHOSPHORYLATION-REGULATED KINASE,general,train
5cbs,5.41,GLUTAMATE RECEPTOR 2,refined,train
5etm,5.41,2-AMINO-4-HYDROXY-6-HYDROXYMETHYLDIHYDROPTERIDINE,general,train
5ey9,5.41,LONG-CHAIN-FATTY-ACID--AMP LIGASE FADD32,general,train
5lt6,5.41,HISTONE-LYSINE N-METHYLTRANSFERASE SETD2,general,train
5m7t,5.41,PROTEIN O-GLCNACASE,general,train
5mym,5.41,HTH-TYPE TRANSCRIPTIONAL REGULATOR ETHR,general,train
5u13,5.41,DIHYDROPTEROATE SYNTHASE,refined,train
5u5t,5.41,POLYCOMB PROTEIN EED,general,train
5xs8,5.41,EXTRACELLULAR SOLUTE-BINDING PROTEIN FAMILY 1,general,train
5yv5,5.41,ATPASE RIL,general,train
6aff,5.41,PROTEIN/NUCLEIC ACID DEGLYCASE DJ-1,general,train
6mil,5.41,PROTEIN AF-9,general,train
1abf,5.42,L-ARABINOSE-BINDING PROTEIN,general,train
1gja,5.42,UROKINASE-TYPE PLASMINOGEN ACTIVATOR,general,train
1h9z,5.42,SERUM ALBUMIN,general,train
1nu8,5.42,DIPEPTIDYL PEPTIDASE 4,general,train
1p28,5.42,PHEROMONE BINDING PROTEIN,general,train
1r5n,5.42,EUKARYOTIC PEPTIDE CHAIN RELEASE FACTOR GTP,general,train
1xot,5.42,"CAMP-SPECIFIC 3',5'-CYCLIC PHOSPHODIESTERASE 4B",general,train
2a3w,5.42,SERUM AMYLOID P-COMPONENT,general,train
2qnz,5.42,3-OXOACYL-[ACYL-CARRIER-PROTEIN] SYNTHASE 3,general,train
2vpo,5.42,PERIPLASMIC SUBSTRATE BINDING PROTEIN,refined,train
2wa8,5.42,ATP-DEPENDENT CLP PROTEASE ADAPTER PROTEIN CLPS,general,train
3l4t,5.42,MALTASE-GLUCOAMYLASE,general,train
3ob1,5.42,12-MERIC PEPTIDE FROM PROTEIN SPROUTY HOMOLOG 2,general,train
3qci,5.42,RECEPTOR-TYPE TYROSINE-PROTEIN PHOSPHATASE GAMMA,general,train
3rl4,5.42,METALLOPHOSPHOESTERASE MPPED2,general,train
4fev,5.42,AMINOGLYCOSIDE 3'-PHOSPHOTRANSFERASE APHA1-IAB,refined,train
4nxv,5.42,MITOCHONDRIAL DYNAMIC PROTEIN MID51,refined,train
4uxj,5.42,THYMIDINE KINASE,general,train
5ab1,5.42,FIMH PROTEIN,general,train
6cjh,5.42,MAP KINASE-INTERACTING SERINE/THREONINE-PROTEIN KINASE 2,general,train
1fq7,5.43,SACCHAROPEPSIN,general,train
1fw0,5.43,GLUTAMATE RECEPTOR 2,general,train
1y98,5.43,BREAST CANCER TYPE 1 SUSCEPTIBILITY PROTEIN,general,train
2qln,5.43,GLYCOGEN PHOSPHORYLASE,general,train
2qu2,5.43,BETA-SECRETASE 1,general,train
3ivv,5.43,SPECKLE-TYPE POZ PROTEIN,general,train
3k0k,5.43,BREAST CANCER TYPE 1 SUSCEPTIBILITY PROTEIN,general,train
3k5f,5.43,BETA-SECRETASE 1,general,train
3ng4,5.43,PEPTIDOGLYCAN RECOGNITION PROTEIN 1,refined,train
3qlc,5.43,TRANSCRIPTIONAL REGULATOR ATRX,general,train
3s7f,5.43,N-LYSINE METHYLTRANSFERASE SMYD2,general,train
4b60,5.43,FIBRONECTIN-BINDING PROTEIN A,general,train
4f5y,5.43,TRANSMEMBRANE PROTEIN 173,refined,train
4ofb,5.43,BREAST CANCER TYPE 1 SUSCEPTIBILITY PROTEIN,general,train
4p2t,5.43,KSHV PROTEASE,general,train
4pnc,5.43,METHIONINE AMINOPEPTIDASE,general,train
4pox,5.43,NOPALINE-BINDING PERIPLASMIC PROTEIN,refined,train
4tmp,5.43,PROTEIN AF-9,general,train
4xta,5.43,PEROXISOME PROLIFERATOR-ACTIVATED RECEPTOR GAMMA,general,train
5agr,5.43,LEUCINE--TRNA LIGASE,general,train
5e1o,5.43,N-TERMINAL XAA-PRO-LYS N-METHYLTRANSFERASE 1,general,train
5ksx,5.43,FARNESYL PYROPHOSPHATE SYNTHASE,general,train
6a6w,5.43,BOUQUET FORMATION PROTEIN 4,general,train
6afd,5.43,PROTEIN/NUCLEIC ACID DEGLYCASE DJ-1,general,train
1a4q,5.44,NEURAMINIDASE,general,train
1dzp,5.44,ODORANT-BINDING PROTEIN,general,train
1h0a,5.44,EPSIN,refined,train
1ijr,5.44,PROTO-ONCOGENE TYROSINE-PROTEIN KINASE LCK,general,train
1syi,5.44,GLUTAMATE RECEPTOR 2,refined,train
2q6f,5.44,INFECTIOUS BRONCHITIS VIRUS (IBV) MAIN PROTEASE,refined,train
2wr8,5.44,PUTATIVE UNCHARACTERIZED PROTEIN PH0463,refined,train
3ggc,5.44,HYPOXANTHINE-GUANINE PHOSPHORIBOSYLTRANSFERASE,general,train
3gs7,5.44,TRANSTHYRETIN,general,train
3lp7,5.44,ARGINASE-1,refined,train
3p2h,5.44,AHL SYNTHASE,general,train
3pty,5.44,ARABINOSYLTRANSFERASE C,general,train
3run,5.44,T4 LYSOZYME,general,train
3u10,5.44,POTASSIUM/SODIUM HYPERPOLARIZATION-ACTIVATED CYCLIC,refined,train
4bdk,5.44,SERINE/THREONINE-PROTEIN KINASE CHK2,general,train
4dju,5.44,BETA-SECRETASE 1,refined,train
4fli,5.44,METHIONINE AMINOPEPTIDASE 1,general,train
4j26,5.44,ESTROGEN RECEPTOR BETA,general,train
4mgb,5.44,ESTROGEN RECEPTOR,general,test
4osf,5.44,MACROPHAGE MIGRATION INHIBITORY FACTOR,general,train
4qz1,5.44,PROTEASOME SUBUNIT ALPHA TYPE-2,general,train
4rsp,5.44,ORF1A PROTEIN,general,train
4tju,5.44,TANKYRASE-2,general,train
5ave,5.44,METHYL-ACCEPTING CHEMOTAXIS (MCP) SIGNALING DOMAIN PROTEIN,refined,train
5e3a,5.44,DIPEPTIDYL PEPTIDASE 3,refined,train
5tbn,5.44,PHD FINGER PROTEIN 20,general,train
5tp0,5.44,TRYPSIN-3,refined,train
5uxm,5.44,PHOSPHO-2-DEHYDRO-3-DEOXYHEPTONATE ALDOLASE,general,train
6buu,5.44,RAC-ALPHA SERINE/THREONINE-PROTEIN KINASE,general,train
6d1u,5.44,"MALTOSE-BINDING PERIPLASMIC PROTEIN,RECEPTOR ACTIVITY",general,train
6fau,5.44,14-3-3 PROTEIN SIGMA,general,train
6gnr,5.44,TRANSTHYRETIN,refined,train
2iko,5.45,RENIN,refined,train
3mi3,5.45,"HOMOCITRATE SYNTHASE, MITOCHONDRIAL",refined,train
3my1,5.45,CYCLIN-DEPENDENT KINASE 9,general,train
4mp2,5.45,PYRUVATE DEHYDROGENASE [LIPOAMIDE] KINASE ISOZYME,general,train
1anf,5.46,MALTODEXTRIN-BINDING PROTEIN,general,train
1b4h,5.46,OLIGO-PEPTIDE BINDING PROTEIN,refined,train
1lf8,5.46,ADP-RIBOSYLATION FACTOR BINDING PROTEIN GGA3,general,train
1lv8,5.46,PURINE NUCLEOSIDE PHOSPHORYLASE,general,train
1nnk,5.46,GLUTAMATE RECEPTOR 2,general,train
1q65,5.46,QUEUINE TRNA-RIBOSYLTRANSFERASE,refined,train
2cn8,5.46,SERINE/THREONINE-PROTEIN KINASE CHK2,general,train
2fie,5.46,"FRUCTOSE-1,6-BISPHOSPHATASE 1",general,train
2gg9,5.46,METHIONINE AMINOPEPTIDASE,general,train
2y4k,5.46,MANNOSYLGLYCERATE SYNTHASE,general,train
3gbq,5.46,GRB2,general,train
3piz,5.46,TYROSINE-PROTEIN KINASE BTK,general,train
3s22,5.46,BETA-LACTAMASE,general,train
4gw5,5.46,"CETUXIMAB FAB, LIGHT CHAIN",general,train
4jft,5.46,ALPHA-L-FUCOSIDASE,general,train
4kot,5.46,UNCHARACTERIZED PROTEIN,general,train
4mvn,5.46,SERINE PROTEASE SPLA,general,train
4qz0,5.46,PROTEASOME SUBUNIT ALPHA TYPE-2,general,train
4zly,5.46,TYROSINE-PROTEIN KINASE BTK,general,train
5dtw,5.46,PROBABLE ENOYL-COA HYDRATASE ECHA6,general,train
5mnr,5.46,THERMOLYSIN,refined,train
5nka,5.46,EPHRIN TYPE-A RECEPTOR 2,refined,train
5owa,5.46,PEREGRIN,general,train
5txy,5.46,CARBONIC ANHYDRASE 2,refined,train
5ty8,5.46,CARBONIC ANHYDRASE 2,general,train
5xag,5.46,TUBULIN ALPHA-1B CHAIN,general,train
5ye7,5.46,PLATELET-ACTIVATING FACTOR ACETYLHYDROLASE,general,train
6dcy,5.46,POLYMERASE ACIDIC PROTEIN,general,train
6ekq,5.46,PEREGRIN,refined,train
1g7f,5.47,PROTEIN-TYROSINE PHOSPHATASE 1B,refined,train
1gi1,5.47,TRYPSIN BETA,refined,train
1nlo,5.47,C-SRC,general,train
1o2s,5.47,TRYPSIN BETA,general,train
1xh5,5.47,CAMP-DEPENDENT PROTEIN KINASE,refined,train
2hf8,5.47,HYDROGENASE NICKEL INCORPORATION PROTEIN HYPB,general,train
2hz4,5.47,TYROSINE-PROTEIN KINASE ABL1,general,train
2r0z,5.47,"ANTIBODY FAB IGG2A, LIGHT CHAIN",refined,train
2xde,5.47,GAG POLYPROTEIN,refined,train
2y7p,5.47,LYSR-TYPE REGULATORY PROTEIN,general,train
3pd2,5.47,THREONYL-TRNA SYNTHETASE,general,train
3t3y,5.47,ALPHA-KETOGLUTARATE-DEPENDENT DIOXYGENASE ALKB,general,train
4j77,5.47,WBP1,general,train
4jmu,5.47,GAG-POL POLYPROTEIN,general,train
4n6g,5.47,CASPASE-6,refined,train
4n7j,5.47,CASPASE-6,general,train
4n7m,5.47,CASPASE-6,refined,train
4qb3,5.47,BROMODOMAIN-CONTAINING PROTEIN 4,refined,train
4rrq,5.47,THREONYL-TRNA LIGASE,general,train
4x3e,5.47,POLYCOMB PROTEIN EED,general,train
4xcb,5.47,OXIDASE/HYDROXYLASE,general,train
5fb0,5.47,NUCLEAR AUTOANTIGEN SP-100,general,train
5gu4,5.47,RICIN,general,train
5nn5,5.47,LYSOSOMAL ALPHA-GLUCOSIDASE,refined,train
5o4s,5.47,PEREGRIN,general,train
5u0f,5.47,CARBONIC ANHYDRASE 2,refined,train
6c7w,5.47,CARBONIC ANHYDRASE 2,refined,train
1g85,5.48,ODORANT-BINDING PROTEIN,refined,train
1uh1,5.48,AGGLUTININ ALPHA CHAIN,general,train
2cbv,5.48,BETA-GLUCOSIDASE A,refined,train
2co0,5.48,WD REPEAT-CONTAINING PROTEIN 5,general,train
2nww,5.48,425AA LONG HYPOTHETICAL PROTON GLUTAMATE SYMPORT,general,train
2qic,5.48,INHIBITOR OF GROWTH PROTEIN 1,general,train
2qyk,5.48,CYCLIC AMP-SPECIFIC PHOSPHODIESTERASE HSPDE4A10,general,train
2wxd,5.48,MYROSINASE,general,train
2zkj,5.48,PYRUVATE DEHYDROGENASE [LIPOAMIDE] KINASE,refined,train
3bxe,5.48,CENTRAL GLYCOLYTIC GENE REGULATOR,refined,train
3d2r,5.48,PYRUVATE DEHYDROGENASE [LIPOAMIDE] KINASE,general,train
3iw6,5.48,MITOGEN-ACTIVATED PROTEIN KINASE 14,refined,train
3m58,5.48,HISTONE-LYSINE N-METHYLTRANSFERASE SETD7,general,train
3qch,5.48,RECEPTOR-TYPE TYROSINE-PROTEIN PHOSPHATASE GAMMA,general,train
3vp1,5.48,"GLUTAMINASE KIDNEY ISOFORM, MITOCHONDRIAL",general,train
3zdv,5.48,FUCOSE-BINDING LECTIN PA-IIL,refined,train
4c5w,5.48,GAMMA-BUTYROBETAINE DIOXYGENASE,general,train
4d2r,5.48,INSULIN-LIKE GROWTH FACTOR 1 RECEPTOR,general,train
4ie4,5.48,ALPHA-KETOGLUTARATE-DEPENDENT DIOXYGENASE FTO,general,train
4ifi,5.48,BREAST CANCER TYPE 1 SUSCEPTIBILITY PROTEIN,general,train
4jfm,5.48,PEPTIDYL-PROLYL CIS-TRANS ISOMERASE FKBP5,refined,train
4kp8,5.48,CARBONIC ANHYDRASE 12,refined,train
4n7h,5.48,E3 UBIQUITIN-PROTEIN LIGASE NEDD4,general,train
4oq6,5.48,INDUCED MYELOID LEUKEMIA CELL DIFFERENTIATION PROTEIN MCL,general,train
4pf5,5.48,CONCANAVALIN-A,refined,train
4qfg,5.48,5'-AMP-ACTIVATED PROTEIN KINASE CATALYTIC SUBUNIT A,general,train
4tmf,5.48,ADP-RIBOSYL CYCLASE/CYCLIC ADP-RIBOSE HYDROLASE 1,general,train
4uc5,5.48,PHOSPHO-2-DEHYDRO-3-DEOXYHEPTONATE ALDOLASE,refined,train
4x8p,5.48,SET1/ASH2 HISTONE METHYLTRANSFERASE COMPLEX SUBUNIT,general,train
4y6r,5.48,1-DEOXY-D-XYLULOSE 5-PHOSPHATE REDUCTOISOMERASE,general,train
4ycu,5.48,LYSINE--TRNA LIGASE,general,train
5alx,5.48,EPOXIDE HYDROLASE 2,general,train
5aqz,5.48,HEAT SHOCK 70 KDA PROTEIN 1A,refined,train
5hrw,5.48,PROTEIN POLYBROMO-1,refined,train
5ii1,5.48,PROTEIN POLYBROMO-1,general,train
5iv4,5.48,ADENYLATE CYCLASE TYPE 10,general,train
5lkr,5.48,CHOLINESTERASE,general,train
5mav,5.48,PROLIFERATING CELL NUCLEAR ANTIGEN,general,train
5vwk,5.48,PROTEIN SCRIBBLE HOMOLOG,general,train
5yib,5.48,PLASMEPSIN II,general,train
6grp,5.48,TRANSTHYRETIN,general,train
1pot,5.49,SPERMIDINE/PUTRESCINE-BINDING PROTEIN,refined,train
1pyn,5.49,"PROTEIN-TYROSINE PHOSPHATASE, NON-RECEPTOR TYPE 1",refined,train
1tys,5.49,THYMIDYLATE SYNTHASE,general,train
1uef,5.49,DOCKING PROTEIN 1,general,train
2h4k,5.49,"PROTEIN-TYROSINE PHOSPHATASE, NON-RECEPTOR TYPE 1",refined,train
2ioa,5.49,BIFUNCTIONAL GLUTATHIONYLSPERMIDINE,general,train
2o0u,5.49,MITOGEN-ACTIVATED PROTEIN KINASE 10,refined,train
2qtr,5.49,NICOTINATE (NICOTINAMIDE) NUCLEOTIDE ADENYLYLTRANSFERASE,general,train
2r3y,5.49,PROTEASE DEGS,general,train
2uy5,5.49,ENDOCHITINASE,refined,train
3bmq,5.49,PTERIDINE REDUCTASE,general,train
3bvb,5.49,HIV-1 PROTEASE,refined,train
3ga5,5.49,D-GALACTOSE-BINDING PERIPLASMIC PROTEIN,refined,train
3h0b,5.49,BETA-SECRETASE 1,general,train
3hmp,5.49,DUAL SPECIFICITY PROTEIN KINASE TTK,refined,train
3i73,5.49,A-TYPE ATP SYNTHASE CATALYTIC SUBUNIT A,refined,train
3mvj,5.49,"CAMP-DEPENDENT PROTEIN KINASE, ALPHA-CATALYTIC",general,train
3sgx,5.49,UNDECAPRENYL PYROPHOSPHATE SYNTHASE,general,train
3t3g,5.49,GLYCOGEN PHOSPHORYLASE,general,train
3tz4,5.49,3-METHYL-2-OXOBUTANOATE DEHYDROGENASE,general,train
4f6s,5.49,CYCLIN-DEPENDENT KINASE 8,general,train
4knx,5.49,BIFUNCTIONAL PROTEIN GLMU,general,train
4lv3,5.49,BETA-LACTAMASE,general,train
4tq3,5.49,PRENYLTRANSFERASE,general,train
4u7v,5.49,HIV-1 PROTEASE,general,train
4uvb,5.49,LYSINE-SPECIFIC HISTONE DEMETHYLASE 1A,general,train
4w9f,5.49,TRANSCRIPTION ELONGATION FACTOR B POLYPEPTIDE 2,refined,train
4zs2,5.49,ALPHA-KETOGLUTARATE-DEPENDENT DIOXYGENASE FTO,general,train
5avf,5.49,METHYL-ACCEPTING CHEMOTAXIS (MCP) SIGNALING DOMAIN PROTEIN,refined,train
5tg2,5.49,3C-LIKE PROTEASE,general,train
5tq1,5.49,"1-PHOSPHATIDYLINOSITOL 4,5-BISPHOSPHATE PHOSPHODIESTERASE",general,train
5w6u,5.49,HEMAGGLUTININ,general,train
5xzr,5.49,"TYROSINE-PROTEIN PHOSPHATASE, NON-RECEPTOR TYPE 11",general,train
6af9,5.49,PROTEIN/NUCLEIC ACID DEGLYCASE DJ-1,general,train
6afa,5.49,PROTEIN/NUCLEIC ACID DEGLYCASE DJ-1,general,train
6cen,5.49,HISTONE-LYSINE N-METHYLTRANSFERASE NSD3,general,train
6f29,5.49,"GLUTAMATE RECEPTOR, IONOTROPIC KAINATE 3",general,train
6g14,5.49,RIBOSOME BIOGENESIS GTPASE A,refined,train
6g91,5.49,MITOGEN-ACTIVATED PROTEIN KINASE 1,general,train
2ajb,5.5,DIPEPTIDYL PEPTIDASE 4,general,train
2y58,5.5,ACETYLCHOLINE RECEPTOR,general,train
3c1n,5.5,PROBABLE ASPARTOKINASE,general,train
3lfn,5.5,CELL DIVISION PROTEIN KINASE 2,general,train
3tza,5.5,GLUTAMATE RECEPTOR 2,refined,train
4nni,5.5,30S RIBOSOMAL PROTEIN S1,general,train
4rt0,5.5,ALGINATE BIOSYNTHESIS PROTEIN ALG44,general,train
4ura,5.5,LYSINE-SPECIFIC DEMETHYLASE 4A,general,train
6gr7,5.5,TRANSTHYRETIN,general,train
6hm6,5.5,SPLEEN TYROSINE KINASE,general,train
6hpg,5.5,OUTER ENVELOPE PROTEIN 64,general,train
1b2i,5.51,PROTEIN (PLASMINOGEN),general,train
1ggn,5.51,GLYCOGEN PHOSPHORYLASE,general,train
1t08,5.51,BETA-CATENIN,general,train
1xh3,5.51,"HLA CLASS I HISTOCOMPATIBILITY ANTIGEN, B-35 ALPHA",general,train
2gc8,5.51,RNA-DIRECTED RNA POLYMERASE,general,train
2uym,5.51,KINESIN-LIKE PROTEIN KIF11,general,train
2wqp,5.51,POLYSIALIC ACID CAPSULE BIOSYNTHESIS PROTEIN,general,train
3cn0,5.51,TRANSTHYRETIN,general,train
3da9,5.51,THROMBIN,refined,train
3kgt,5.51,TRANSTHYRETIN,refined,train
3qtq,5.51,CYCLIN-DEPENDENT KINASE 2,general,train
3qts,5.51,CYCLIN-DEPENDENT KINASE 2,general,train
3u51,5.51,TYROSINE-PROTEIN KINASE SRC,general,train
3vgc,5.51,GAMMA CHYMOTRYPSIN,general,train
4i9c,5.51,RESPONSE REGULATOR ASPARTATE PHOSPHATASE F,general,train
4k55,5.51,BUTYROPHILIN SUBFAMILY 3 MEMBER A1,refined,train
4qwu,5.51,PROTEASOME SUBUNIT ALPHA TYPE-2,general,train
4qxo,5.51,STIMULATOR OF INTERFERON GENES PROTEIN,refined,train
4qz3,5.51,PROTEASOME SUBUNIT ALPHA TYPE-2,general,train
4wz5,5.51,BETA-LACTAMASE OXA-10,general,train
4zba,5.51,PCURE2P8,refined,train
4zgk,5.51,E3 UBIQUITIN-PROTEIN LIGASE MDM2,refined,train
5cks,5.51,"PHOSPHO-2-DEHYDRO-3-DEOXYHEPTONATE ALDOLASE, PHE-SENSITIVE",refined,train
5h8x,5.51,NEUTROPHIL COLLAGENASE (MMP-8),general,train
5lpk,5.51,HISTONE ACETYLTRANSFERASE P300,general,train
5oa6,5.51,"1,3-BETA-GLUCANOSYLTRANSFERASE GAS2",refined,train
5zu0,5.51,PROTEIN ARGININE METHYLTRANSFERASE NDUFAF7 HOMOLOG,general,train
5zzw,5.51,PROTEIN ARGININE METHYLTRANSFERASE NDUFAF7 HOMOLOG,general,train
6ewe,5.51,BETA-LACTAMASE 2,general,train
6gfz,5.51,ELONGIN-B,refined,train
1a8i,5.52,GLYCOGEN PHOSPHORYLASE,general,train
1h07,5.52,CELL DIVISION PROTEIN KINASE 2,general,train
1kc7,5.52,PYRUVATE PHOSPHATE DIKINASE,refined,train
1lox,5.52,15-LIPOXYGENASE,general,train
1oe7,5.52,GLUTATHIONE S-TRANSFERASE,general,train
1oe8,5.52,GLUTATHIONE S-TRANSFERASE,refined,train
1pyg,5.52,GLYCOGEN PHOSPHORYLASE B,general,train
1tl9,5.52,"CALPAIN-1, CATALYTIC SUBUNIT",general,train
1xxi,5.52,"DNA POLYMERASE III, DELTA SUBUNIT",general,train
1ydr,5.52,CAMP-DEPENDENT PROTEIN KINASE,refined,train
2cht,5.52,CHORISMATE MUTASE,refined,train
2ez5,5.52,E3 UBIQUITIN-PROTEIN LIGASE NEDD4,general,train
2ga2,5.52,METHIONINE AMINOPEPTIDASE 2,general,train
2gcd,5.52,SERINE/THREONINE-PROTEIN KINASE TAO2,general,train
2gz8,5.52,REPLICASE POLYPROTEIN 1AB,general,train
2hwi,5.52,RNA-DIRECTED RNA POLYMERASE (NS5B) (P68),general,train
2l8j,5.52,GAMMA-AMINOBUTYRIC ACID RECEPTOR-ASSOCIATED PROTEIN,general,train
2vnf,5.52,INHIBITOR OF GROWTH PROTEIN 4,general,train
2ydt,5.52,"EXO-1,5-ALPHA-L-ARABINOFURANOBIOSIDASE",refined,train
3cgo,5.52,MITOGEN-ACTIVATED PROTEIN KINASE 10,general,train
3eys,5.52,IF KAPPA LIGHT CHAIN,general,train
3hqr,5.52,EGL NINE HOMOLOG 1,general,train
3hzm,5.52,ANTIBODY FAB FARGMENT S73-2,refined,train
3i97,5.52,NEUROPILIN-1,general,train
3iog,5.52,BETA-LACTAMASE,refined,train
3t6y,5.52,DEOXYURIDINE 5'-TRIPHOSPHATE NUCLEOTIDOHYDROLASE,general,train
3tws,5.52,TANKYRASE-2,general,train
3v0l,5.52,HISTO-BLOOD GROUP ABO SYSTEM TRANSFERASE,general,train
4de3,5.52,BETA-LACTAMASE,general,train
4en4,5.52,PYRIDOXAL KINASE,refined,train
4h2o,5.52,UNDECAPRENYL PYROPHOSPHATE SYNTHASE,general,train
4j5c,5.52,PEPTIDYL-PROLYL CIS-TRANS ISOMERASE F,general,train
4pnl,5.52,TANKYRASE-2,general,train
4qqi,5.52,ANKYRIN REPEAT FAMILY A PROTEIN 2,general,train
4yvz,5.52,DNA INTEGRITY SCANNING PROTEIN DISA,general,train
5f08,5.52,HTH-TYPE TRANSCRIPTIONAL REGULATOR ETHR,refined,train
